playerID,bbrefID,fangraphsID
aardsda01,aardsda01,1902
aaronha01,aaronha01,1000001
aaronto01,aaronto01,1000002
aasedo01,aasedo01,1000003
abadan01,abadan01,506
abadfe01,abadfe01,4994
abbated01,abbated01,1000005
abbeych01,abbeych01,1000007
abbotda01,abbotda01,1000008
abbotfr01,abbotfr01,1000009
abbotgl01,abbotgl01,1000010
abbotje01,abbotje01,1000011
abbotji01,abbotji01,1000012
abbotku01,abbotku01,1000013
abbotky01,abbotky01,1000014
abbotpa01,abbotpa01,1061
aberal01,aberal01,1000016
abernbi01,abernbi01,1000018
abernbr01,abernbr01,1192
abernte01,abernte01,1000019
abernte02,abernte02,1000020
abernwo01,abernwo01,1000021
aberscl01,aberscl01,1000022
ablesha01,ablesha01,1000023
abnersh01,abnersh01,1000024
abramca01,abramca01,1000025
abramge01,abramge01,1000026
abregjo01,abregjo01,1000027
abreubo01,abreubo01,945
abreubr01,abreubr01,16609
abreujo01,abreujo01,1000028
abreuju01,abreuju01,6306
abreuto01,abreuto01,5053
abreuwi01,abreuwi01,582
abstebi01,abstebi01,1000029
aceveal01,aceveal01,5164
acevejo01,acevejo01,307
aceveju01,aceveju01,458
ackerji01,ackerji01,1000030
ackerto01,ackerto01,1000031
ackledu01,ackledu01,10099
acklefr01,acklefr01,1000032
acostcy01,acostcy01,1000033
acosted01,acosted01,1000034
acostjo01,acostjo01,1000035
acostma01,acostma01,8725
acostme01,acostme01,1000036
acrema01,acrema01,1000037
adairje01,adairje01,1000038
adairji01,adairji01,1000039
adamecr01,adamecr01,6013
adamewi01,adamewi01,15986
adamja01,adamja01,11861
adamsac01,adamsac01,1000040
adamsau01,adamsau01,7411
adamsau02,adamsau02,13801
adamsba01,adamsba01,1000041
adamsbe01,adamsbe01,1000042
adamsbo01,adamsbo01,1000043
adamsbo02,adamsbo02,1000044
adamsbo03,adamsbo03,1000045
adamsbo04,adamsbo04,1000046
adamsbu01,adamsbu01,1000047
adamsch01,adamsch01,18135
adamsda01,adamsda01,1000048
adamsda02,adamsda02,7389
adamsdi01,adamsdi01,1000049
adamsdo01,adamsdo01,1000050
adamsgl01,adamsgl01,1000052
adamshe01,adamshe01,1000053
adamsji01,adamsji01,1000054
adamsjo01,adamsjo01,1000055
adamsjo02,adamsjo02,1000056
adamska01,adamska01,1000057
adamsla01,adamsla01,10767
adamsma01,adamsma01,9393
adamsmi01,adamsmi01,1000058
adamsmi02,adamsmi02,1000059
adamsmi03,adamsmi03,1937
adamsre01,adamsre01,1000060
adamsri02,adamsri02,1000062
adamsru01,adamsru01,4519
adamsry01,adamsry01,6343
adamssp01,adamssp01,1000063
adamssp02,adamssp02,1000064
adamste01,adamste01,946
adamswi01,adamswi01,1000065
adamswi02,adamswi02,1000066
adcocjo01,adcocjo01,1000067
addisbo01,addisbo01,1000068
adducji01,adducji01,1000069
addybo01,addybo01,1000070
adenhni01,adenhni01,6879
aderhmo01,aderhmo01,1000071
adkinde01,adkinde01,1000072
adkindi01,adkindi01,1000073
adkindo01,adkindo01,1000074
adkingr01,adkingr01,1000075
adkinst01,adkinst01,1000077
adlesda01,adlesda01,1000078
adriaeh01,adriaeh01,8418
afenitr01,afenitr01,1000079
affelje01,affelje01,583
agbaybe01,agbaybe01,416
ageeto01,ageeto01,1000080
agganha01,agganha01,1000081
aglerjo01,aglerjo01,1000082
agnewsa01,agnewsa01,1000083
agostju01,agostju01,1000084
agrazda01,agrazda01,15821
aguaylu01,aguaylu01,1000085
aguilch01,aguilch01,2143
aguilri01,aguilri01,1000086
aguirha01,aguirha01,1000087
ahearch01,ahearch01,1000088
ahearpa01,ahearpa01,1000089
ahmedni01,ahmedni01,12147
aikenwi01,aikenwi01,1000090
aingeda01,aingeda01,1000091
ainsmed01,ainsmed01,1000092
ainswku01,ainswku01,1431
aitchra01,aitchra01,1000093
aitonge01,aitonge01,1000094
akejo01,akejo01,1000095
akerfda01,akerfda01,1000096
akerja01,akerja01,1000097
akersbi01,akersbi01,1000098
akersje01,akersje01,1000099
albagi01,albagi01,1000100
albaljo01,albaljo01,3521
albanjo01,albanjo01,1000101
alberbu01,alberbu01,1000102
albercy01,albercy01,1000103
albergu01,albergu01,1000104
alberha01,alberha01,11902
alberjo01,alberjo01,1000105
alberma01,alberma01,4300
albieoz01,albieoz01,16556
albosed01,albosed01,1000106
albreed01,albreed01,1000107
albrija01,albrija01,1000108
albural01,albural01,6324
alburvi01,alburvi01,1000109
alcaljo01,alcaljo01,19459
alcalsa01,alcalsa01,1000110
alcansa01,alcansa01,18684
alcarlu01,alcarlu01,1000111
alcocsc01,alcocsc01,1000112
alderda01,alderda01,1000113
aldremi01,aldremi01,1000114
aldresc01,aldresc01,1000115
aldrija01,aldrija01,1000117
aldrivi01,aldrivi01,1000118
alenoch01,alenoch01,1000119
alexabo01,alexabo01,1000120
alexada01,alexada01,1000121
alexado01,alexado01,1000122
alexaga01,alexaga01,1000123
alexage01,alexage01,1000124
alexahu01,alexahu01,1000125
alexama01,alexama01,1000126
alexama02,alexama02,1954
alexani01,alexani01,1000127
alexasc01,alexasc02,10591
alexaty01,alexaty01,17735
alexawa01,alexawa01,1000129
alfarja01,alfarja01,2388
alfarjo01,alfarjo01,12180
alfonan01,alfonan01,260
alfoned01,alfoned01,859
alfonel01,alfonel01,2331
alforan01,alforan01,14329
alicelu01,alicelu01,584
allanan01,allanan01,1000130
allarbr01,allarbr01,1000131
allarko01,allarko01,18694
allenau01,allenau01,18083
allenbe01,allenbe01,1000132
allenbo01,allenbo01,1000133
allenbo02,allenbo02,1000134
allenbo03,allenbo03,1000135
allenbo04,allenbo04,1000136
allenbr01,allenbr01,7436
allench01,allench01,122
allenco01,allenco01,12183
allendi01,allendi01,1000137
allendu01,allendu01,1000138
allenet01,allenet01,1000139
allenfr01,allenfr01,1000140
allenga01,allenga01,1000141
allengr01,allengr01,16623
allenha02,allenha02,1000143
allenhe01,allenhe01,1000144
allenho01,allenho01,1000145
allenja01,allenja01,1000146
allenja02,allenja02,1000147
allenje01,allenje01,1000148
allenjo01,allenjo01,1000149
allenjo02,allenjo02,1000150
allenki01,allenki01,1000151
allenll01,allenll01,1000152
allenlo01,allenlo01,18555
allenlu01,allenlu01,1586
allenmy01,allenmy01,1000153
allenne01,allenne01,1000154
allenni01,allenni01,1000155
allenpe01,allenpe01,1000156
allenro01,allenro01,1000157
allenro02,allenro02,1000158
allensl01,allensl01,1000159
alleyge01,alleyge01,1000160
alliebo01,alliebo01,1000161
alliega01,alliega01,1000162
allisan01,allisan01,1000163
allisar01,allisar01,1000164
allisbo01,allisbo01,1000166
allisda01,allisda01,1000167
allisma01,allisma01,1000169
allismi01,allismi01,1000170
allrebe01,allrebe01,1000171
almadme01,almadme01,1000172
almanar01,almanar01,507
almanca01,almanca01,308
almonab01,almonab01,5486
almonbi01,almonbi01,1000174
almoned01,almoned01,1764
almoner01,almoner01,808
almonhe01,almonhe01,1729
almonmi01,almonmi01,14139
almonye01,almonye01,15068
almonzo01,almonzo01,6732
alomaro01,alomaro01,860
alonspe01,alonspe01,19251
alonsyo01,alonsyo01,2530
aloufe01,aloufe01,1000177
alouje01,alouje01,1000178
alouma01,alouma01,1000179
aloumo01,aloumo01,261
alstode01,alstode01,1000181
